#nom;cmd goldelox;cmd picaso;cmd diablo16;arguments en entrée;Valeurs de retour;commentaires paramètres en entrée;commentaires paramètres en sortie;commentaires fonctionnement
#;si vide : pas implémenté pour le type d’écran;;;uint16_t par défaut, sinon le type est spécifié entre (). vide si pas D’arguments;si précédé d’un ‘ :’ → signifie que la valeur est retournée sur diablo16 et picaso, mais pas sur goldelox;;;
file_index;;0xFF15;0xFE4E ;handle, hiWord, loWord, recordNum;ack,status;"Handle : The handle that references the file ; HiSize :  Contains the upper 16bits of the size of the file records; LoSize : Contains the lower 16bits of the size of the file records ;recordnum : The index of the required record";Status : 1 = success, 0 = error;Places the file pointer at the position in a file that has been opened in 'r' (read) or 'a' (append) mode. In append mode, File Index does not expand a filesize, instead, the file pointer (handle) is set to the end position of the file, e.g. assuming the record size is 100 bytes, the File Index command with HiSize = 0, LoSize = 100 and recordnum = 22 will set the file position to 2200 for the file handle, so subsequent data may be read from that position onwards with “Read Character from the File”, “Read Word from the File”, “Read String from the File” commands or an image can be displayed with the “Display Image (FAT)” command.
file_tell;;0x000F;0x000F;handle;ack,status,hiWord,loWord;Handle : The handle that references the file;"Status : 1 = success, 0 = error ; HiWord Contains the upper 16bits of the value of the pointer ; LoWord  Contains the lower 16bits of the value of the pointer";The File Tell command returns the current value of the file pointer.
file_write;;0x0010;0x0010;size, (uint8_t)source[size], handle;ack,count;size : Number of bytes to be written. Maximum that can be written at one time is 512 bytes.source :  String of Data without Null terminator. Handle :  The handle that references the file to write.;count  Returns the number of bytes written.;write chunk of data to file
file_size;;0x000E;0x000E;handle;ack,status,hiWord,loWord;Handle : The handle that references the file;"Status : 1 = success, 0 = error ; HiWord Contains the upper 16bits of the file size ; LoWord  Contains the lower 16bits of the file size";
file_image;;0xFF11;0xFE4A;x, y, handle;ack,errno;"x : X-position of the image to be displayed ; y : Y-position of the image to be displayed ; handle : The handle that references the file containing the image(s).";error  Returns a copy of the File Error, see the “File Error” command;Display an image from the file stream at screen location specified by x, y (top left corner).If there is more than 1 image in the file, it can be accessed with the “File Seek” command
file_screenCapture;;0xFF10;0xFE49;x, y, width, height, handle;ack,status;"X : X-position of the image to be captured ; y :  Y-position of the image to be captured ; width : Width of the area to be captured ;height : Height of the area to be captured ; handle : The handle that references the file to store the image(s)";status :  0: If the operation was successful;"The Screen Capture command saves an image of the screen shot to file at the current file position.The image can later be displayed with the “Display Image (FAT)” command. The file may beopened in append mode to accumulate multiple images. Later, the images can be displayed with the “File Seek” command. The image is saved from x, y (with respect to top left corner),and the capture area is determined by ""width"" and ""height""."
file_putC;;0x001F;0x001F;car, handle;ack,status;car: data byte (in the LSB) about to be written, handle: The handle that references the file to be written to.;status: returns the number of bytes written successfully;This function writes the byte specified by "char" to the file, at the position indicated by the associated file-position pointer (set by the “File Seek” or “File Index” commands) and advances the pointer appropriately (incremented by 1). The file must be previously opened with 'w' (write) or 'a' (append) modes.
file_getC;;0xFF0E;0xFE47;handle;ack,car;handle: the handle that references the file to be read from;car: returns the data byte read from the file in the LSB;The Read Character from the File command reads a byte from the file, at the position indicated by the associated file-position pointer (set by the “File Seek” or “File Index”commands) and advances the pointer appropriately (incremented by 1). The file must be previously opened with 'r' (read) mode.
file_putW;;0xFF0D;0xFE46;word, handle;ack,status;word: word about to be written, handle: The handle that references the file to be written to.;status: returns the number of bytes written successfully;This function writes the word specified by "word" to the file, at the position indicated by the associated file-position pointer (set by the “File Seek” or “File Index” commands) and advances the pointer appropriately (incremented by 2). The file must be previously opened with 'w' (write) or 'a' (append) modes.
file_getW;;0xFF0C ;0xFE45 ;handle;ack,word;handle: the handle that references the file to be read from;word: returns the word read from the file in the LSB;The Read Word from the File command reads a word from the file, at the position indicated by the associated file-position pointer (set by the “File Seek” or “File Index”commands) and advances the pointer appropriately (incremented by 2). The file must be previously opened with 'r' (read) mode.
file_putS;;0x0020;0x0020;(const char*) cstr;ack,count;data: a Null terminated string to be written to the file,handle: the handle that references the file to be written to;count: returns the number of characters written (excluding the null terminator);This function writes a null terminated string to the file, at the position indicated by the associated file-position pointer (set by the “File Seek” or “File Index” commands) and advances the pointer appropriately. The file must be previously opened with 'w' (write) or 'a' (append) modes.
file_getS;;0x0007;0x0007;size, handle;ack,n,(char)str[n];size: the maximum number of bytes to be read from the file handle: the handle that references the file to be read from;count: returns the number of characters read from file (excluding the null teminator),data:  returns the string read from the file excluding the Null terminator;This function reads a line of text from a file at the current file position indicated by the associated file-position pointer (set by the “File Seek” or “File Index” commands) and advances the pointer appropriately. Characters are read until either a newline or an EOF is received or until the specified maximum "size" is reached. In all cases, the string is null terminated. The file must be previously opened with 'r' (read) mode.
file_erase;;0x0003;0x0003;(const char *) filename;ack,status;filename: name of the file to be erased (passed as a string). Filename must be 8.3 format;status: 1=success, 0=failure;This function erases a file on the disk. Note: If the function fails, the appropriate error number is set in the “File Error” command and will usually be error 19, "failure during FILE search"
file_rewind;;0xFF08;0xFE41;handle;ack,status;handle: the handle that references the file;status: 1=success, 0=failure;The File Rewind command resets the file pointer to the beginning of a file that has been opened in 'r' (read), 'w', or 'a' (append) mode
file_loadFunction;;0x0008;0x0008;(const char *) filename;ack,pointer;filename:Name of the 4DGL function (filename.4FN) or application program (filename.4XE) that is about to be loaded into RAM in 8.3 format ;pointer: Returns a pointer to the memory allocation where the function has been loaded from file which can be then used as a function call;The File Load Function command allocates the RAM area to the 4FN or 4XE program, load it from the uSD card in to the RAM and return a function pointer to the allocation. The function can then be invoked just like any other function would be called via a function pointer using the “File Call Function” commands. The 4FN or 4XE program may be discarded at any time when no longer required, thus freeing its memory resources. The loaded function can be discarded with the “Memory Free” command.
file_callFunction;;0x0019;0x0019;handle, n, args[n];ack,value;handle: The file handle that was created by the “File Load Function” n: Number of arguments args: optionals arguments;value:  Returns the value from main in the called function;Call the function previously loaded through “File Load Function”. The loaded function can be discarded with the “Memory Free” command.
file_run;;0x000D;0x000D;(const char *) filename, n, args[n];ack,value;filename: A 4FN or a 4XE file is an executable file generated when a 4DGL file is compiled, provided in 8.3 format n: number of arguments args: optional arguments;value: Returns the value from the called program; The File Run command will load the 4FN or 4XE program from the uSD card in to the RAM and execute it. Once the program is called, the Host must wait until the program finished execution. Any attempt to send further commands while the 4FN or 4XE file is executing can cause the module to reset or respond with erroneous data.
file_exec;;0x0004;0x0004;(const char *) filename, n, args[n];ack,value;filename: A 4FN or a 4XE file is an executable file generated when a 4DGL file is compiled, provided in 8.3 format n: number of arguments args: optional arguments;value: Returns the value from the called program; The File Run command will load the 4FN or 4XE program from the uSD card in to the RAM and execute it. Once the program is called, the Host must wait until the program finished execution. Any attempt to send further commands while the 4FN or 4XE file is executing can cause the module to reset or respond with erroneous data.
file_loadImageControl;;0x0009;0x0009;(const char *) filename1, (const char *) filename2, mode;ack,handle;filename1: The control list filename "*.dat". filename2: The image filename "*.gci". both Created from Graphics Composer, 8.3 format. mode: [0 .. 2] (see the documentation for details);handle:  handle (pointer to the memory allocation) to the image control list that has been created. Returns NULL if function fails.;Reads a control file to create an image list. The GCI file may contain images, videos or animations built through the Graphics Composer Software tool.The GCI file is created by selecting the GCI – FAT Selected Folder option in the Built Option type. See the Graphics Composer User Guide for further details on the Graphics Composer.
file_mount;;0xFF03;0xFE3C;;ack,status;;status: Non-zero: If the operation successful. 0: if the attempt failed;Starts up the FAT16 disk file services and allocates a small 32 byte control block for subsequent use. When you open a file using the “File Open” command a further 512 + 44 = 556 bytes are attached to the FAT16 file control block. When you close a file using the “File Close” command, the 556 byte allocation is released leaving the 32 byte file control block. The File Mount command must be called before any other FAT16 file related functions can be used. The control block and all FAT16 file resources are completely released with the “File Unmount” command.
file_unmount;;0xFF02;0xFE3B;;ack;;;The “File Unmount” command releases any buffers for FAT16 and unmount the Disk FileSystem. This function is to be called to close the FAT16 file system.
file_playWAV;;0x000B;0x000B;(const char *) filename;ack,status;filename: Name of the wav file to be opened and played. Filename must be 8.3 format.;status:  If there are no errors, returns number of blocks to play (1 to 32767) If errors occurred, the following is returned 6 : can’t play this rate 5 : no data chunk found in first sector 4 : no format data 3 : no wave chunk signature 2 : bad wave file format 1 : file not found;
file_writeString;;0x0021 ;0x0021 ;handle, (const char*) cstr;ack,pointer;handle: A string pointer to the memory area where the string is to be loaded. The  first string would start with handle = 0, next one would use the handle = string pointer returned from the execution of the Write string earlier. string: A Null terminated string which is to be passed to the Child (4XE or 4FN) program.;pointer: Returns a pointer to the memory allocation where the string has been loaded.; Load the Memory space with the string to be used by the “File Call Function”, “File Run” and “File Execute” commands as an argument. The Memory Space for the “Read String for 4XE/4FN File” command or “Load String for 4XE/4FN File” command is pre-allocated memory, 512 bytes in size. It doesn’t need to be released.
#file_readString;;0x0022;0x0022 ;handle;ack,str[];;; /* NOT YET IMPLEMENTED because I have not yet understood how to know the size of the returned string */
snd_volume;;0xFF00;0xFE35;level;ack;level: is 0 – 127;;Set the sound playback volume. Var must be in the range from 8 (min volume) to 127 (max volume). If var is less than 8, volume is set to 8, and if var > 127 it is set to 127.
snd_pitch;;0xFEFF;0xFE34;rate;ack,oldRate;rate:  Sample's playback rate. Minimum is 4KHz. Range is, 4000 – 65535;oldRate: Returns sample's original sample rate.;Sets the samples playback rate to a different frequency. Setting pitch to zero restores the original sample rate.
snd_bufSize;;0xFEFE;0xFE33;bufferSize;ack;buffersize:Specifies the buffer size. 0 = 1024 bytes (default), 1 = 2048 bytes, 2 = 4096 bytes;;Specify the memory chunk size for the wavefile buffer, default size 1024 bytes. Depending on the sample size, memory constraints, and the sample quality, it may be beneficial to change the buffer size from the default size of 1024 bytes. This command is for control of a wav buffer, see the “Play WAV File” command
snd_stop;;0xFEFD;0xFE32;;ack;;;Stop any sound that is currently playing, releasing buffers and closing any open WAV file. This command is for control of a wav buffer, see the “Play WAV File” command
snd_pause;;0xFEFC;0xFE31;;ack;;;Pause any sound that is currently playing. This command is for control of a wav buffer, see the “Play WAV File” command
snd_continue;;0xFEFB;0xFE30;;ack;;; Resume any sound that is currently paused by the “Sound Pause” command. This command is for control of a wav buffer, see the “Play WAV File” command
snd_playing;;0xFEFA;0xFE2F;;ack,togo;;togo:  Number of 512 byte blocks to go.;Returns 0 if sound has finished playing, else return number of 512 byte blocks to go. This command is for control of a wav buffer, see the “Play WAV File” command
img_setPosition;;0xFF4E;0xFE8A ;handle, (int16_t) index, xpos, ypos;ack,status;handle:Pointer to the Image List., index: Index of the images in the list, xpos: Top left horizontal screen position where image is to be displayed., ypos: Top left vertical screen position where image is to be displayed.;status: 1-> If the operation successful. 0 -> if the attempt failed.;
img_enable ;;0xFF4D;0xFE89;handle, (int16_t) index;ack,status;handle:Pointer to the Image List., index: Index of the images in the list. ;status: 1 -> If the operation successfull. 0 -> if the attempt failed;This command requires that an image control has been created with the “Load ImageControl” command. Enables a selected image in the image list. Returns TRUE if index was ok and function was successful. This is the default state so when the “Show Image” command is called, all the images in the list will be shown. To enable all of the images in the list at the same time set index to -1. To enable a selected image, use the image index number.
img_disable;;0xFF4C;0xFE88 ;handle, (int16_t) index;ack,status;handle:Pointer to the Image List., index: Index of the images in the list. ;status: 1 -> If the operation successfull. 0 -> if the attempt failed;This function requires that an image control has been created with the “Load ImageControl” command. Disables an image in the image list. Returns TRUE if index was ok and function was successful. Use this function to turn off an image so that when the “Show Image” command is called the selected image in the list will not be shown. To disable all of the images in the list at the same time set index to -1.
img_darken;;0xFF4B;0xFE87;handle, (int16_t) index;ack,status;handle:Pointer to the Image List., index: Index of the images in the list. ;status: 1 -> If the operation successfull. 0 -> if the attempt failed;This function requires that an image control has been created with the “Load ImageControl” command. Darken an image in the image list. Returns TRUE if index was ok and function was successful. Use this function to darken an image so that when the “Show Image” command is called the control will take effect. To darken all of the images in the list at the same time set index to -1. Note: This feature will take effect one time only and when the “Show Image” command is called again the darkened image will revert back to normal.
img_lighten;;0xFF4A;0xFE86;handle, (int16_t) index;ack,status;handle:Pointer to the Image List., index: Index of the images in the list. ;status: 1 -> If the operation successfull. 0 -> if the attempt failed; This function requires that an image control has been created with the “Load ImageControl” command. Lighten an image in the image list. Returns TRUE if index was ok and function was successful. Use this function to lighten an image so that when the “Show Image” command is called the control will take effect. To lighten all of the images in the list at the same time set index to -1. Note: This feature will take effect one time only and when the “Show Image” command is called again the lightened image will revert back to normal.
img_setWord;;0xFF49;0xFE85;handle, (int16_t) index, offset, value;ack,status;handle:Pointer to the Image List., index: Index of the images in the list. offset:Offset of the required word in the image entry.2 -> xpos, 3 -> ypos, 6 -> flags, 7 -> delay, 9 -> index. value: The word to be written to the entry.;status:  1 -> If the operation successfull. 0 -> if the attempt failed;This function requires that an image control has been created with the “Load Image Control” command. Set image parameters in an image entry. Note: The “Show Image” command will now show an error box for out of range video frames. Also, if frame is set to -1, just a rectangle will be drawn in background colour to blank an image. It applies to PmmC R29 or above.
img_getWord;;0xFF48;0xFE84;handle, (int16_t) index, offset;ack,value;handle:Pointer to the Image List., index: Index of the images in the list. offset:Offset of the required word in the image entry.2 -> xpos, 3 -> ypos, 6 -> flags, 7 -> delay, 9 -> index. value : value corresponding to the entrie;This function requires that an image control has been created with the “Load Image Control” command. Returns the image parameters in an image entry.
img_show;;0xFF47;0xFE83;handle, (int16_t) index;ack,status;handle:Pointer to the Image List., index: Index of the images in the list. ;status:  1 -> If the operation successfull. 0 -> if the attempt failed;This function requires that an image control has been created with the “Load ImageControl” command. Enable the displaying of the image entry in the image control. Returns a non-zero value if successful but return value is usually ignored.
img_setAttributes;;0xFF46;0xFE82;handle, (int16_t) index, value;ack,status;handle:Pointer to the Image List., index: Index of the images in the list., value: Refer to the Image Attribute Flags in the description ;status: status: 1 -> If the operation successfull. 0 -> if the attempt failed; see the documentation for detailled explanation 
img_clearAttributes;;0xFF45;0xFE81;handle, (int16_t) index, value;ack,status;handle:Pointer to the Image List., index: Index of the images in the list., value: Refer to the Image Attribute Flags in the description ;status: status: 1 -> If the operation successfull. 0 -> if the attempt failed; see the documentation for detailled explanation 
img_touched;;0xFF44;0xFE80;handle, (int16_t) index;ack,(int16_t)value;handle:Pointer to the Image List., index: Index of the images in the list;value: Returns image index if image touched, -1 if image not touched.;This command requires that an image control has been created with the “Load ImageControl” command. Returns index if image touched or returns -1 image not touched. If index is passed as -1 the command tests all images and returns -1 if image not touched or returns index.
img_blitComtoDisplay;0x000A;0x0023;0x0023;x,y,width,height,(const uint16_t *) data;ack;x,y: Specifies the horizontal and vertical position of the top-left corner of the x, y image to be displayed. width: width of the image to be displayed. height: height of the image to be displayed. data[width*height]:  pixel1...pixeln 16 bit pixel data to be plotted on the Display screen. 16 bit = 5bit Red, 6bit Green, 5bit Blue;;This command will BLIT (Block Image Transfer) 16 bit pixel data from the Com port on to the screen.
bus_in;;0xFFD3;;;ack,busState;;; see detailed 4dsystem documentation
bus_out;;0xFFD2;;busState;ack;;; see detailed 4dsystem documentation
bus_read;;0xFFCF;0xFF86;;ack,busState;;; see detailed 4dsystem documentation
bus_set;;0xFFD1;;dirMask;ack;;; see detailed 4dsystem documentation
bus_write;;0xFFD0;0xFF87;bitfield;ack;;; see detailed 4dsystem documentation
pin_hi;;0xFFD6;0xFF8F;pin;ack,status;;; see detailed 4dsystem documentation
pin_lo;;0xFFD5;0xFF8E ;pin;ack,status;;; see detailed 4dsystem documentation
pin_read;;0xFFD4;0xFF8C;pin;ack,status;;; see detailed 4dsystem documentation
pin_set_picaso;;0xFFD7;;mode, pin;ack,status;Pin=1..7 mode = 0 .. 1 (see reference manuel);; see detailed 4dsystem documentation
pin_set_diablo;;;0xFF90;mode, pin;ack,status;Pin = 1..16 mode = 0..6 (see reference manuel);; see detailed 4dsystem documentation
